date,open,high,low,close,volume
2011.03.29,1.4086,1.4148,1.4047,1.4113,64044
2011.03.30,1.4113,1.4146,1.4052,1.4126,70281
2011.03.31,1.4127,1.4232,1.4116,1.4174,73492
2011.04.01,1.4173,1.4245,1.4061,1.4234,70943
2011.04.04,1.4231,1.4268,1.4192,1.4218,61094
2011.04.05,1.4218,1.4245,1.4151,1.4218,62421
2011.04.06,1.4218,1.4348,1.4217,1.4331,67438
2011.04.07,1.433,1.4336,1.4243,1.4304,71548
2011.04.08,1.4303,1.4487,1.4291,1.4482,69625
2011.04.11,1.4452,1.4483,1.4421,1.4432,61152
2011.04.12,1.4434,1.4518,1.4377,1.4478,78914
2011.04.13,1.4478,1.4519,1.4413,1.444,72407
2011.04.14,1.444,1.4514,1.4365,1.4486,73809
2011.04.15,1.4486,1.4503,1.439,1.4429,67446
2011.04.18,1.4416,1.442,1.4157,1.4227,78429
2011.04.19,1.4227,1.4352,1.4205,1.4331,73380
2011.04.20,1.4331,1.4544,1.4328,1.4521,81284
2011.04.21,1.4521,1.4648,1.4505,1.455,73069
2011.04.22,1.455,1.4587,1.4534,1.456,34293
2011.04.25,1.456,1.4626,1.4525,1.4578,55776
2011.04.26,1.4578,1.4656,1.4493,1.4647,65412
2011.04.27,1.4647,1.4795,1.4632,1.4771,72419
2011.04.28,1.4772,1.4881,1.4771,1.4823,68646
2011.04.29,1.4823,1.4877,1.4803,1.4806,50086
2011.05.02,1.4808,1.4901,1.4763,1.4829,65625
2011.05.03,1.4829,1.4889,1.4754,1.4824,69696
2011.05.04,1.4824,1.4938,1.4775,1.4826,77608
2011.05.05,1.4826,1.4898,1.451,1.4537,83324
2011.05.06,1.4537,1.4587,1.4312,1.4313,95919
2011.05.09,1.4361,1.4441,1.4255,1.4365,87623
2011.05.10,1.4365,1.4412,1.427,1.4409,96552
2011.05.11,1.4409,1.4423,1.4172,1.4191,96469
2011.05.12,1.4191,1.4276,1.4123,1.4245,97386
2011.05.13,1.4245,1.4339,1.4067,1.4117,94037
2011.05.16,1.409,1.4244,1.4048,1.4159,91376
2011.05.17,1.4157,1.4238,1.4121,1.4236,96279
2011.05.18,1.4236,1.4286,1.4195,1.4247,88670
2011.05.19,1.4248,1.4324,1.4206,1.4308,89419
2011.05.20,1.4308,1.4345,1.4132,1.4155,86334
2011.05.23,1.4125,1.4145,1.3969,1.4047,96354
2011.05.24,1.4047,1.4132,1.4002,1.4099,91291
2011.05.25,1.4099,1.4118,1.4013,1.4087,91075
2011.05.26,1.4087,1.4206,1.4067,1.4143,126770
2011.05.27,1.4143,1.4322,1.4124,1.4317,97563
2011.05.30,1.4321,1.4323,1.4257,1.4281,56310
2011.05.31,1.4281,1.4424,1.4278,1.4396,87315
2011.06.01,1.4396,1.4458,1.432,1.4327,88286
2011.06.02,1.4328,1.4512,1.4308,1.449,85431
2011.06.03,1.449,1.4642,1.4451,1.4633,84856
2011.06.06,1.4612,1.4657,1.4557,1.4575,89888
2011.06.07,1.4575,1.4695,1.4563,1.469,89196
2011.06.08,1.4691,1.4694,1.4564,1.4582,88930
2011.06.09,1.4583,1.4647,1.4477,1.4509,83562
2011.06.10,1.4509,1.455,1.4322,1.4343,84465
2011.07.14,1.4204,1.4247,1.4114,1.4144,18563
2011.07.15,1.4145,1.4197,1.409,1.4156,24180
2011.07.18,1.412,1.4132,1.4012,1.4102,24527
2011.07.19,1.4101,1.4215,1.4066,1.4153,24414
2011.07.20,1.4152,1.4238,1.4131,1.4219,21843
2011.07.21,1.4218,1.4436,1.4137,1.4417,30103
2011.07.22,1.4418,1.4435,1.4322,1.4355,21027
2011.07.25,1.4402,1.4405,1.4323,1.4375,19704
2011.07.26,1.4376,1.4524,1.4355,1.4513,21886
2011.07.27,1.451,1.4534,1.4337,1.4366,23117
2011.07.28,1.4367,1.4398,1.4252,1.4326,22780
2011.07.29,1.4325,1.4411,1.4227,1.4394,26181
2011.08.01,1.4357,1.4452,1.4344,1.4446,11740
2011.08.02,1.42497,1.42825,1.41509,1.42026,137649
2011.08.03,1.42025,1.43439,1.41435,1.43223,110909
2011.08.04,1.43222,1.43716,1.40891,1.40935,155263
2011.08.05,1.40936,1.42976,1.40554,1.42797,133070
2011.08.08,1.43797,1.44015,1.41297,1.41779,152679
2011.08.09,1.4178,1.43759,1.41521,1.43748,171422
2011.08.10,1.41691,1.42377,1.4168,1.41769,13757
2011.08.11,1.41762,1.42935,1.41021,1.42396,251895
2011.08.12,1.42389,1.42911,1.41484,1.4249,216770
2011.08.15,1.42676,1.44768,1.42516,1.44433,136043
2011.08.16,1.4394,1.447,1.4375,1.4397,9817
2011.08.17,1.4398,1.4515,1.4323,1.4423,23694
2011.08.18,1.4422,1.445,1.4269,1.432,28578
2011.08.19,1.4322,1.4451,1.4257,1.4391,29369
2011.08.22,1.4374,1.4432,1.4345,1.4355,22763
2011.08.23,1.4357,1.4498,1.4351,1.4433,23403
2011.08.24,1.4432,1.448,1.4377,1.4407,22853
2011.08.25,1.4406,1.4473,1.4326,1.4372,21753
2011.08.26,1.4373,1.4499,1.4327,1.4493,21830
2011.08.29,1.449,1.4547,1.4463,1.4512,21255
2011.08.30,1.4511,1.4531,1.4383,1.4436,20227
2011.08.31,1.4438,1.4467,1.4357,1.4378,20693
2011.09.01,1.4377,1.4379,1.4224,1.4257,21539
2011.09.02,1.4259,1.4286,1.4182,1.4202,22296
2011.09.05,1.4158,1.4172,1.4058,1.4093,18208
2011.09.06,1.4092,1.4252,1.397,1.4002,32416
2011.09.07,1.4001,1.4148,1.3992,1.4091,25422
2011.09.08,1.4092,1.4094,1.3871,1.3883,25101
2011.09.09,1.3884,1.3935,1.3625,1.3654,29740
2011.09.12,1.3574,1.3692,1.3493,1.3658,32499
2011.09.13,1.3659,1.3737,1.3556,1.3677,33653
2011.09.14,1.3678,1.3782,1.3589,1.374,34300
2011.09.15,1.3739,1.3935,1.3701,1.388,29460
2011.09.16,1.3881,1.3882,1.3752,1.3793,25410
2011.09.19,1.3668,1.3719,1.3585,1.3673,28091
2011.09.20,1.3675,1.3742,1.3591,1.37,33670
2011.09.21,1.3699,1.3793,1.3556,1.3585,65928
2011.09.22,1.3583,1.3599,1.3383,1.3454,39771
2011.09.23,1.3456,1.3565,1.3417,1.3496,37524
2011.09.26,1.35187,1.35491,1.33613,1.35314,135312
2011.09.27,1.35313,1.36665,1.34782,1.35869,120228
2011.09.28,1.35856,1.36887,1.35316,1.35419,101071
2011.09.29,1.3541,1.36778,1.35184,1.35959,91613
2011.09.30,1.35956,1.35996,1.33826,1.33862,104230
2011.10.03,1.33435,1.33798,1.3166,1.31741,120320
2011.10.04,1.31742,1.33677,1.31449,1.33474,101414
2011.10.05,1.33473,1.33824,1.3259,1.33467,128955
2011.10.06,1.33468,1.34492,1.32405,1.34358,122616
2011.10.07,1.34359,1.35232,1.33598,1.33771,108644
2011.10.10,1.33899,1.3697,1.33765,1.36413,101916
2011.10.11,1.36412,1.36823,1.35642,1.3638,88355
2011.10.12,1.36389,1.38318,1.35815,1.37907,83932
2011.10.13,1.37906,1.38248,1.36841,1.37763,103499
2011.10.14,1.37762,1.38925,1.37229,1.38791,93889
2011.10.17,1.38669,1.39128,1.37244,1.3736,103056
2011.10.18,1.37359,1.3816,1.36516,1.37507,78036
2011.10.19,1.37506,1.38677,1.37239,1.37585,106880
2011.10.20,1.37584,1.38415,1.36551,1.37789,106437
2011.10.21,1.3779,1.38999,1.37027,1.38941,74032
2011.10.24,1.38428,1.39549,1.38209,1.39275,107668
2011.10.25,1.39272,1.39587,1.38479,1.39058,96415
2011.10.26,1.3906,1.39734,1.37976,1.39046,102281
2011.10.27,1.39045,1.42455,1.38631,1.41875,105954
2011.10.28,1.41877,1.41993,1.41325,1.41464,99603
2011.10.30,1.41476,1.41535,1.41414,1.41496,581
2011.10.31,1.41497,1.41696,1.38273,1.38588,120581
2011.11.01,1.38589,1.38695,1.36071,1.36955,114685
2011.11.02,1.36957,1.38266,1.36352,1.37469,114465
2011.11.03,1.37473,1.38532,1.36552,1.38129,78725
2011.11.04,1.38135,1.38672,1.37099,1.37892,75693
2011.11.06,1.37785,1.38357,1.37741,1.38266,1117
2011.11.07,1.38268,1.38298,1.368,1.37743,102170
2011.11.08,1.37744,1.38456,1.37232,1.38316,76243
2011.11.09,1.38315,1.38577,1.35221,1.35409,110907
2011.11.10,1.35413,1.36514,1.34828,1.36041,110835
2011.11.11,1.36046,1.37936,1.35771,1.37482,96108
2011.11.14,1.38086,1.38093,1.35905,1.3632,111328
2011.11.15,1.36319,1.36394,1.34949,1.35376,86133
2011.11.16,1.35379,1.35553,1.34276,1.34614,97248
2011.11.17,1.34619,1.35385,1.34204,1.34562,114498
2011.11.18,1.34556,1.3613,1.34458,1.35236,92250
2011.11.21,1.35101,1.35389,1.34289,1.34884,93062
2011.11.22,1.34883,1.3567,1.34676,1.35035,91260
2011.11.23,1.35033,1.35298,1.33189,1.33403,102424
2011.11.24,1.33404,1.34101,1.3315,1.33464,63130
2011.11.25,1.33463,1.3351,1.3211,1.32375,74281
2011.11.28,1.33221,1.33971,1.32716,1.33178,111365
2011.11.29,1.33177,1.34408,1.32844,1.33142,120692
2011.11.30,1.33145,1.35311,1.3258,1.34448,120608
2011.12.01,1.34446,1.35196,1.3416,1.34601,102065
2011.12.02,1.34599,1.35469,1.33619,1.33907,81146
2011.12.05,1.34216,1.34847,1.33738,1.33994,82980
2011.12.06,1.33995,1.34261,1.33321,1.33998,86609
2011.12.07,1.34,1.3452,1.33498,1.34103,81189
2011.12.08,1.34105,1.34577,1.32877,1.33393,82240
2011.12.09,1.33395,1.34321,1.32803,1.33841,84617
2011.12.12,1.33805,1.33807,1.31617,1.31861,82151
2011.12.13,1.31862,1.32353,1.30076,1.30352,93228
2011.12.14,1.30349,1.3063,1.29444,1.29812,93229
2011.12.15,1.29813,1.30483,1.29559,1.30144,83117
2011.12.16,1.30146,1.30828,1.29939,1.30424,74441
2011.12.19,1.30412,1.30428,1.29817,1.29963,70575
2011.12.20,1.29964,1.31302,1.29926,1.30805,69354
2011.12.21,1.30806,1.31956,1.30239,1.30457,79782
2011.12.22,1.3046,1.31176,1.30159,1.30491,60379
2011.12.23,1.30494,1.30943,1.30249,1.3042,41203
2011.12.26,1.30361,1.30813,1.3031,1.30571,14060
2011.12.27,1.30572,1.30818,1.30417,1.30694,38523
2011.12.28,1.30693,1.30786,1.29107,1.29393,52529
2011.12.29,1.29395,1.29633,1.28569,1.29597,67742
2011.12.30,1.296,1.29972,1.29029,1.29585,58290
2012.01.02,1.2939,1.29687,1.29163,1.2933,22218
2012.01.03,1.29331,1.30753,1.29311,1.30487,70180
2012.01.04,1.30486,1.30714,1.28965,1.29413,73632
2012.01.05,1.29412,1.29452,1.27695,1.27863,87844
2012.01.06,1.27861,1.28111,1.26962,1.27161,70148
2012.01.09,1.26936,1.27838,1.26652,1.27639,73588
2012.01.10,1.27638,1.28168,1.27414,1.27764,71366
2012.01.11,1.27763,1.27883,1.26605,1.27053,80595
2012.01.12,1.27055,1.28435,1.2698,1.28134,76110
2012.01.13,1.28133,1.28768,1.26228,1.26802,85927
2012.01.16,1.2634,1.26862,1.26247,1.26655,60969
2012.01.17,1.26654,1.2807,1.2648,1.27349,82579
2012.01.18,1.27351,1.28667,1.27328,1.28621,86211
2012.01.19,1.2862,1.29697,1.28379,1.29669,83978
2012.01.20,1.29665,1.29847,1.2886,1.29306,71605
2012.01.23,1.28781,1.30512,1.28748,1.30159,73385
2012.01.24,1.30161,1.30614,1.29523,1.30342,79501
2012.01.25,1.30343,1.31192,1.29297,1.3105,81803
2012.01.26,1.31049,1.31826,1.30889,1.31065,75334
2012.01.27,1.31066,1.32323,1.30764,1.32173,84072
2012.01.30,1.32248,1.32275,1.30755,1.31423,74178
2012.01.31,1.31421,1.32121,1.30405,1.30823,82530
2012.02.01,1.30822,1.32166,1.30248,1.31592,81816
2012.02.02,1.31591,1.31952,1.30841,1.31429,78186
2012.02.03,1.31424,1.32044,1.30647,1.31572,76044
2012.02.06,1.31138,1.31401,1.30265,1.31289,76734
2012.02.07,1.31286,1.32685,1.30879,1.32586,82652
2012.02.08,1.32587,1.32871,1.32199,1.3259,77024
2012.02.09,1.32591,1.33195,1.3214,1.3284,87267
2012.02.10,1.32841,1.32894,1.3154,1.31961,72158
2012.02.13,1.32089,1.32826,1.3185,1.3185,71853
2012.02.14,1.31852,1.32144,1.30787,1.31326,83153
2012.02.15,1.31319,1.31892,1.30426,1.30644,87002
2012.02.16,1.30645,1.31572,1.29732,1.31296,88904
2012.02.17,1.31297,1.31961,1.3114,1.31433,67844
2012.02.20,1.318,1.32753,1.31722,1.3242,61009
2012.02.21,1.32423,1.32916,1.31855,1.32349,87483
2012.02.22,1.32316,1.32651,1.32101,1.32485,72648
2012.02.23,1.32482,1.33769,1.323,1.33713,66143
2012.02.24,1.3371,1.34847,1.3356,1.34486,66095
2012.02.27,1.3463,1.3478,1.3365,1.33963,77281
2012.02.28,1.33962,1.34697,1.33879,1.34565,76602
2012.02.29,1.34564,1.34842,1.33136,1.33232,86941
2012.03.01,1.33233,1.33548,1.32807,1.33088,78409
2012.03.02,1.33096,1.33313,1.31857,1.31993,69182
2012.03.05,1.31912,1.32396,1.3159,1.3216,74440
2012.03.06,1.32161,1.32245,1.3102,1.31106,78511
2012.03.07,1.31104,1.31626,1.3095,1.31479,72024
2012.03.08,1.31478,1.32897,1.31341,1.32723,76192
2012.03.09,1.32728,1.32766,1.30955,1.3121,72687
2012.03.12,1.31117,1.31572,1.30776,1.31489,64650
2012.03.13,1.3149,1.31898,1.30508,1.30809,74763
2012.03.14,1.30806,1.30888,1.30096,1.30288,67969
2012.03.15,1.30287,1.31181,1.30027,1.30777,69515
2012.03.16,1.30779,1.31854,1.30478,1.31731,59801
2012.03.19,1.318,1.32638,1.31406,1.32358,55358
2012.03.20,1.32359,1.32507,1.31709,1.3223,59104
2012.03.21,1.32231,1.32834,1.31775,1.32122,63297
2012.03.22,1.32124,1.32531,1.31324,1.31967,72176
2012.03.23,1.31968,1.3292,1.31891,1.32679,68277
2012.03.26,1.32674,1.33662,1.31908,1.33573,67632
2012.03.27,1.33572,1.33839,1.33114,1.33119,60245
2012.03.28,1.33122,1.33721,1.32762,1.33154,68559
2012.03.29,1.33153,1.3344,1.32506,1.33004,68336
